HBD,Habi,Papua New Guinea,,Habi,
HBE,Alexandria/Borg El Arab,Egypt,,Alexandria/Borg El Arab,
HBG,Hattiesburg,Mississippi, United States,Hattiesburg,
HBH,Entrance Island,Alaska, United States,Entrance Island,
HBK,Holbrook,Arizona, United States,Holbrook,
HBR,Hobart,Oklahoma, United States,Hobart,
HBT,Hambantota,Sri Lanka,,Hambantota,
HBU,Bulgan,Mongolia,,Bulgan,
HBX,Hubli/Dharwad,Karnataka, India,Hubli/Dharwad,
HCA,Big Spring,Texas, United States,Big Spring,
HCC,Hudson,New York, United States,Hudson,
HCJ,Hechi,Guangxi, China,Hechi,
HCM,Eyl,Somalia,,Eyl,
HCN,Hengchun,Taiwan,,Hengchun,
HCQ,Halls Creek,Western Australia, Australia,Halls Creek,
HCR,Holy Cross,Alaska, United States,Holy Cross,
HCW,Cheraw,South Carolina, United States,Cheraw,
HDB,Heidelberg,Baden-Württemberg, Germany,Heidelberg,
HDD,Hyderabad,Pakistan,,Hyderabad,
HDE,Holdrege,Nebraska, United States,Holdrege,
HDF,Heringsdorf,Mecklenburg-Vorpommern, Germany,Heringsdorf,
HDG,Handan,Hebei, China,Handan,
HDM,Hamadan,Iran,,Hamadan,
HDN,Hayden,Colorado, United States,Hayden,
HDR,Bandar Abbas,Iran,,Bandar Abbas,
HDS,Hoedspruit,South Africa,,Hoedspruit,
HDY,Hat Yai,Thailand,,Hat Yai,
HEA,Herat,Afghanistan,,Herat,
HEB,Hinthada,Myanmar,,Hinthada,
HED,Herendeen Bay,Alaska, United States,Herendeen Bay,
HEE,Helena-West Helena,Arkansas, United States,Helena-West Helena,
HEH,Heho,Myanmar,,Heho,
HEI,Heide/Büsum,Schleswig-Holstein, Germany,Heide/Busum,
HEK,Heihe,Heilongjiang, China,Heihe,
HEL,Helsinki,Finland,,Helsinki,
HEM,Helsinki,Finland,,Helsinki,
HEO,Haelogo,Papua New Guinea,,Haelogo,
HER,Heraklion,Greece,,Heraklion,
HES,Hermiston,Oregon, United States,Hermiston,
HET,Hohhot,Inner Mongolia, China,Hohhot,
HEZ,Natchez,Mississippi, United States,Natchez,
HFA,Haifa,Israel,,Haifa,
HFD,Hartford,Connecticut, United States,Hartford,
HFE,Hefei,Anhui, China,Hefei,
HFF,Hoffman,North Carolina, United States,Hoffman,
HFN,Höfn,Iceland,,Hofn,
HFS,Hagfors,Sweden,,Hagfors,
HFT,Hammerfest,Norway,,Hammerfest,
HGA,Hargeisa,Somalia,,Hargeisa,
HGD,Hughenden,Queensland, Australia,Hughenden,
HGE,Higuerote,Venezuela,,Higuerote,
HGH,Hangzhou,Zhejiang, China,Hangzhou,
HGI,Higlieg,Sudan,,Higlieg,
HGL,Heligoland,Schleswig-Holstein, Germany,Heligoland,
HGN,Mae Hong Son,Thailand,,Mae Hong Son,
HGO,Korhogo,Ivory Coast,,Korhogo,
HGR,Hagerstown,Maryland, United States,Hagerstown,
HGS,Freetown,Sierra Leone,,Freetown,
HGU,Mount Hagen,Papua New Guinea,,Mount Hagen,
HGZ,Hogatza,Alaska, United States,Hogatza,
HHE,Hachinohe,Honshu, Japan,Hachinohe,
HHH,Hilton Head Island,South Carolina, United States,Hilton Head Island,
HHI,Wahiawa,Hawaii, United States,Wahiawa,
HHN,Hahn,Rhineland-Palatinate, Germany,Hahn,
HHQ,Hua Hin,Thailand,,Hua Hin,
HHR,Hawthorne,California, United States,Hawthorne,
HHZ,Hikueru Atoll,French Polynesia,,Hikueru Atoll,
HIA,Huai'an,Jiangsu, China,Huai'an,
HIB,Hibbing,Minnesota, United States,Hibbing,
HID,Horn Island,Queensland, Australia,Horn Island,
HIE,Whitefield,New Hampshire, United States,Whitefield,
HIF,Ogden,Utah, United States,Ogden,
HIG,Highbury,Queensland, Australia,Highbury,
HII,Lake Havasu City,Arizona, United States,Lake Havasu City,
HIJ,Hiroshima,Honshu, Japan,Hiroshima,
HIL,Shilavo,Ethiopia,,Shilavo,
HIM,Hingurakgoda,Sri Lanka,,Hingurakgoda,
HIN,Jinju,South Korea,,Jinju,
HIO,Hillsboro/Portland,Oregon, United States,Hillsboro/Portland,
HIP,Headingly,Queensland, Australia,Headingly,
HIR,Honiara,Guadalcanal,Solomon Islands,Honiara,
HIT,Haivaro,Papua New Guinea,,Haivaro,
HIW,Hiroshima,Honshu, Japan,Hiroshima,
HJJ,Huaihua,Hunan, China,Huaihua,
HJR,Khajuraho,Madhya Pradesh, India,Khajuraho,
HJT,Khujirt,Mongolia,,Khujirt,
HKA,Blytheville,Arkansas, United States,Blytheville,
HKB,Healy Lake,Alaska, United States,Healy Lake,
HKD,Hakodate,Hokkaido, Japan,Hakodate,
HKG,Hong Kong,,,Hong Kong,
HKK,Hokitika,New Zealand,,Hokitika,
HKN,Kimbe,Papua New Guinea,,Kimbe,
HKS,Jackson,Mississippi, United States,Jackson,
HKT,Phuket,Thailand,,Phuket,
HKV,Haskovo,Bulgaria,,Haskovo,
HKY,Hickory,North Carolina, United States,Hickory,
HLA,Johannesburg,South Africa,,Johannesburg,
HLB,Batesville,Indiana, United States,Batesville,
HLC,Hill City,Kansas, United States,Hill City,
HLD,Hailar,Inner Mongolia, China,Hailar,
HLE,Jamestown,British Overseas TerritoryofSaint Helena, Ascension and Tristan da Cunha,Jamestown,
HLF,Hultsfred/Vimmerby,Sweden,,Hultsfred/Vimmerby,
HLG,Wheeling,West Virginia, United States,Wheeling,
HLH,Ulanhot,Inner Mongolia, China,Ulanhot,
HLI,Hollister,California, United States,Hollister,
HLL,Hillside,Western Australia, Australia,Hillside,
HLM,Holland,Michigan, United States,Holland,
HLN,Helena,Montana, United States,Helena,
HLP,Jakarta,Indonesia,,Jakarta,
HLR,Fort Hood/Killeen,Texas, United States,Fort Hood/Killeen,
HLS,St Helens,Tasmania, Australia,St Helens,
HLT,Hamilton,Victoria, Australia,Hamilton,
HLV,Helenvale,Queensland, Australia,Helenvale,
HLW,Hluhluwe,South Africa,,Hluhluwe,
HLZ,Hamilton,New Zealand,,Hamilton,
HMA,Khanty-Mansiysk,Khanty-Mansi Autonomous Okrug, Russia,Khanty-Mansiysk,
HMB,Sohag,Egypt,,Sohag,
HME,Hassi Messaoud,Algeria,,Hassi Messaoud,
HMG,Hermannsburg,Northern Territory, Australia,Hermannsburg,
HMI,Hami,Xinjiang, China,Hami,
HMJ,Khmelnytsky,Ukraine,,Khmelnytsky,
HMN,Alamogordo,New Mexico, United States,Alamogordo,
HMO,Hermosillo,Sonora, Mexico,Hermosillo,
HMR,Hamar,Norway,,Hamar,
HMT,Hemet,California, United States,Hemet,
HMV,Hemavan/Tärnaby,Sweden,,Hemavan/Tarnaby,
HMY,Seosan,South Korea,,Seosan,
HNA,Hanamaki,Honshu, Japan,Hanamaki,
HNB,Huntingburg,Indiana, United States,Huntingburg,
HNC,Hatteras,North Carolina, United States,Hatteras,
HND,Tokyo,Honshu, Japan,Tokyo,
HNH,Hoonah,Alaska, United States,Hoonah,
HNI,Heiweni,Papua New Guinea,,Heiweni,
HNL,Honolulu,Hawaii, United States,Honolulu,
HNM,Hana,Hawaii, United States,Hana,
HNN,Honinabi,Papua New Guinea,,Honinabi,
HNS,Haines,Alaska, United States,Haines,
HNY,Hengyang,Hunan, China,Hengyang,
HOA,Hola,Kenya,,Hola,
HOB,Hobbs,New Mexico, United States,Hobbs,
HOC,Komako,Papua New Guinea,,Komako,
HOD,Al Hudaydah(Hodeida),Yemen,,Al Hudaydah(Hodeida),
HOE,Ban Houayxay(Ban Huoeisay),Laos,,Ban Houayxay(Ban Huoeisay),
HOF,Hofuf,Saudi Arabia,,Hofuf,
HOG,Holguín,Cuba,,Holguin,
HOH,Dornbirn,Austria,,Dornbirn,
HOI,Hao,Tuamotus,French Polynesia,Hao,
HOK,Lajamanu,Northern Territory, Australia,Lajamanu,
HOM,Homer,Alaska, United States,Homer,
HON,Huron,South Dakota, United States,Huron,
HOO,Quang Duc,Vietnam,,Quang Duc,
HOP,Fort Campbell/Hopkinsville,Kentucky, United States,Fort Campbell/Hopkinsville,
HOQ,Hof,Bavaria, Germany,Hof,
HOR,Horta,Azores,Portugal,Horta,
HOS,Chos Malal,Neuquén, Argentina,Chos Malal,
HOT,Hot Springs,Arkansas, United States,Hot Springs,
HOU,Houston,Texas, United States,Houston,
HOV,Ørsta/Volda,Norway,,orsta/Volda,
HOX,Homalin,Myanmar,,Homalin,
HOY,Longhope,Scotland, United Kingdom,Longhope,
HPB,Hooper Bay,Alaska, United States,Hooper Bay,
HPE,Hopevale,Queensland, Australia,Hopevale,
HPG,Shennongjia,Hubei, China,Shennongjia,
HPH,Haiphong,Vietnam,,Haiphong,
HPN,White Plains,New York, United States,White Plains,
HPT,Hampton,Iowa, United States,Hampton,
HPV,Hanalei,Hawaii, United States,Hanalei,
HPY,Baytown,Texas, United States,Baytown,
HQM,Hoquiam,Washington, United States,Hoquiam,
HRB,Harbin,Heilongjiang, China,Harbin,
HRC,Zhayrem,Kazakhstan,,Zhayrem,
HRE,Harare,Zimbabwe,,Harare,
HRG,Hurghada,Egypt,,Hurghada,
HRI,Hambantota,Sri Lanka,,Hambantota,
HRK,Kharkiv,Ukraine,,Kharkiv,
HRL,Harlingen,Texas, United States,Harlingen,
HRM,Hassi R'Mel,Algeria,,Hassi R'Mel,
HRO,Harrison,Arkansas, United States,Harrison,
HRR,La Herrera,Colombia,,La Herrera,
HRS,Harrismith,South Africa,,Harrismith,
HRT,Linton-on-Ouse,England, United Kingdom,Linton-on-Ouse,
HRY,Henbury,Northern Territory, Australia,Henbury,
HRZ,Horizontina,Rio Grande do Sul, Brazil,Horizontina,
HSB,Harrisburg,Illinois, United States,Harrisburg,
HSC,Shaoguan,Guangdong, China,Shaoguan,
HSG,Saga,Kyushu, Japan,Saga,
HSH,Las Vegas,Nevada, United States,Las Vegas,
HSI,Hastings,Nebraska, United States,Hastings,
HSJ,Zhengzhou,Henan, China,Zhengzhou,
HSK,Huesca,Aragon, Spain,Huesca,
HSL,Huslia,Alaska, United States,Huslia,
HSM,Horsham,Victoria, Australia,Horsham,
HSN,Zhoushan,Zhejiang, China,Zhoushan,
HSP,Hot Springs,Virginia, United States,Hot Springs,
HSS,Hisar,Haryana, India,Hisar,
HST,Homestead,Florida, United States,Homestead,
HSV,Huntsville,Alabama, United States,Huntsville,
HSZ,Hsinchu,Taiwan,,Hsinchu,
HTA,Chita,Zabaykalsky Krai, Russia,Chita,
HTG,Khatanga,Krasnoyarsk Krai, Russia,Khatanga,
HTH,Hawthorne,Nevada, United States,Hawthorne,
HTI,Hamilton Island,Queensland, Australia,Hamilton Island,
HTL,Houghton Lake,Michigan, United States,Houghton Lake,
HTM,Khatgal,Mongolia,,Khatgal,
HTN,Hotan,Xinjiang, China,Hotan,
HTO,East Hampton,New York, United States,East Hampton,
HTR,Hateruma,Yaeyama Islands, Japan,Hateruma,
HTS,Huntington,West Virginia, United States,Huntington,
HTT,Huatugou,Qinghai, China,Huatugou,
HTU,Hopetoun,Victoria, Australia,Hopetoun,
HTV,Huntsville,Texas, United States,Huntsville,
HTW,Chesapeake/Huntington (WV),Ohio, United States,Chesapeake/Huntington (WV),
HTY,Hatay,Turkey,,Hatay,
HTZ,Hato Corozal,Colombia,,Hato Corozal,
HUA,Redstone Arsenal/Huntsville,Alabama, United States,Redstone Arsenal/Huntsville,
HUB,Humbert River,Northern Territory, Australia,Humbert River,
HUC,Humacao,Puerto Rico, United States,Humacao,
HUD,Humboldt,Iowa, United States,Humboldt,
HUE,Humera,Ethiopia,,Humera,
HUF,Terre Haute,Indiana, United States,Terre Haute,
HUG,Huehuetenango,Guatemala,,Huehuetenango,
HUH,Huahine,Society Islands,French Polynesia,Huahine,
HUJ,Hugo,Oklahoma, United States,Hugo,
HUK,Hukuntsi,Botswana,,Hukuntsi,
HUL,Houlton,Maine, United States,Houlton,
HUM,Houma,Louisiana, United States,Houma,
HUN,Hualien,Taiwan,,Hualien,
HUO,Holingol,Inner Mongolia, China,Holingol,
HUQ,Hun,Libya,,Hun,
HUS,Hughes,Alaska, United States,Hughes,
HUT,Hutchinson,Kansas, United States,Hutchinson,
HUU,Huánuco,Peru,,Huanuco,
HUV,Hudiksvall,Sweden,,Hudiksvall,
HUW,Humaitá,Amazonas, Brazil,Humaita,
HUX,Huatulco,Oaxaca, Mexico,Huatulco,
HUY,Humberside,England, United Kingdom,Humberside,
HUZ,Huizhou,Guangdong, China,Huizhou,
HVA,Analalava,Madagascar,,Analalava,
HVB,Hervey Bay,Queensland, Australia,Hervey Bay,
HVD,Khovd,Mongolia,,Khovd,
HVE,Hanksville,Utah, United States,Hanksville,
HVG,HonningsvAg,Norway,,HonningsvAg,
HVK,Hólmavík,Iceland,,Holmavik,
HVN,New Haven,Connecticut, United States,New Haven,
HVR,Havre,Montana, United States,Havre,
HVS,Hartsville,South Carolina, United States,Hartsville,
HWA,Hawabango,Papua New Guinea,,Hawabango,
HWD,Hayward,California, United States,Hayward,
HWI,Hawk Inlet,Alaska, United States,Hawk Inlet,
HWK,Hawker,South Australia, Australia,Hawker,
HWN,Hwange National Park,Zimbabwe,,Hwange National Park,
HWO,Hollywood,Florida, United States,Hollywood,
HXD,Delingha,Qinghai, China,Delingha,
HXX,Hay,New South Wales, Australia,Hay,
HYA,Hyannis,Massachusetts, United States,Hyannis,
HYC,High Wycombe,England, United Kingdom,High Wycombe,
HYD,Hyderabad,Telangana, India,Hyderabad,
HYF,Hayfields,Papua New Guinea,,Hayfields,
HYG,Hydaburg,Alaska, United States,Hydaburg,
HYL,Hollis,Alaska, United States,Hollis,
HYN,Taizhou,Zhejiang, China,Taizhou,
HYR,Hayward,Wisconsin, United States,Hayward,
HYS,Hays,Kansas, United States,Hays,
HYV,Hyvinkää,Finland,,Hyvinkaa,
HZB,Hazebrouck,Nord-Pas-de-Calais, France,Hazebrouck,
HZG,Hanzhong,Shaanxi, China,Hanzhong,
HZH,Liping,Guizhou, China,Liping,
HZK,Húsavík,Iceland,,Husavik,
HZL,Hazleton,Pennsylvania, United States,Hazleton,
HZP,Fort McKay,Alberta, Canada,Fort McKay,
HZV,Hazyview,South Africa,,Hazyview,
IAA,Igarka,Krasnoyarsk Krai, Russia,Igarka,
IAB,Wichita,Kansas, United States,Wichita,
IAD,Washington, D.C.,1United States,Washington,
IAG,Niagara Falls,New York, United States,Niagara Falls,
IAH,Houston,Texas, United States,Houston,
IAM,In Amenas,Algeria,,In Amenas,
IAN,Kiana,Alaska, United States,Kiana,
IAO,Del Carmen,Philippines,,Del Carmen,
IAQ,Bahregan,Iran,,Bahregan,
IAR,Yaroslavl,Yaroslavl Oblast, Russia,Yaroslavl,
IAU,Iaura,Papua New Guinea,,Iaura,
IBA,Ibadan,Nigeria,,Ibadan,
IBB,Isabela Island,Galápagos Islands,Ecuador,Isabela Island,
IBE,Ibagué,Colombia,,Ibague,
IBI,Iboki,Papua New Guinea,,Iboki,
IBL,Bazaruto Island,Mozambique,,Bazaruto Island,
IBO,Ibo Island,Mozambique,,Ibo Island,
IBP,Iberia,Peru,,Iberia,
IBR,Omitama,Honshu, Japan,Omitama,
IBZ,Ibiza,Balearic Islands, Spain,Ibiza,
ICA,Icabarú,Venezuela,,Icabaru,
ICC,Coche Island,Venezuela,,Coche Island,
ICI,Cicia Island,Fiji,,Cicia Island,
ICK,Nieuw Nickerie,Suriname,,Nieuw Nickerie,
ICL,Clarinda,Iowa, United States,Clarinda,
ICN,Seoul,South Korea,,Seoul,
ICO,Sicogon,Philippines,,Sicogon,
ICS,Cascade,Idaho, United States,Cascade,
ICT,Wichita,Kansas, United States,Wichita,
ICY,Icy Bay,Alaska, United States,Icy Bay,
IDA,Idaho Falls,Idaho, United States,Idaho Falls,
IDB,Idre,Sweden,,Idre,
IDC,Chilonzuine Island,Mozambique,,Chilonzuine Island,
IDF,Idiofa,Democratic Republic of the Congo,,Idiofa,
IDG,Ida Grove,Iowa, United States,Ida Grove,
IDH,Grangeville,Idaho, United States,Grangeville,
IDI,Indiana,Pennsylvania, United States,Indiana,
IDK,Indulkana,South Australia, Australia,Indulkana,
IDN,Indagen,Papua New Guinea,,Indagen,
IDO,Santa Isabel do Morro,Tocantins, Brazil,Santa Isabel do Morro,
IDP,Independence,Kansas, United States,Independence,
IDR,Indore,Madhya Pradesh, India,Indore,
IDY,Île d'Yeu,Pays de la Loire, France,Ile d'Yeu,
IEG,Zielona Góra,Poland,,Zielona Gora,
IEJ,Iejima,Okinawa, Japan,Iejima,
IES,Riesa,Saxony, Germany,Riesa,
IEV,Kiev,Ukraine,,Kiev,
IFA,Iowa Falls,Iowa, United States,Iowa Falls,
IFF,Iffley,Queensland, Australia,Iffley,
IFH,Shahin Shahr,Iran,,Shahin Shahr,
IFJ,Ísafjörður,Iceland,,Isafjordur,
IFL,Innisfail,Queensland, Australia,Innisfail,
IFN,Isfahan,Iran,,Isfahan,
IFO,Ivano-Frankivsk,Ukraine,,Ivano-Frankivsk,
IFP,Bullhead City,Arizona, United States,Bullhead City,
IFU,Ifuru,Raa Atoll,Maldives,Ifuru,
IGA,Inagua Islands,Bahamas,,Inagua Islands,
IGB,Ingeniero Jacobacci,Río Negro, Argentina,Ingeniero Jacobacci,
IGE,Iguela,Gabon,,Iguela,
IGG,Igiugig,Alaska, United States,Igiugig,
IGH,Ingham,Queensland, Australia,Ingham,
IGM,Kingman,Arizona, United States,Kingman,
IGN,Iligan,Philippines,,Iligan,
IGO,Chigorodó,Colombia,,Chigorodo,
IGR,Puerto Iguazú,Misiones, Argentina,Puerto Iguazu,
IGS,Ingolstadt,Bavaria, Germany,Ingolstadt,
IGT,Nazran,Ingushetia, Russia,Nazran,
IGU,Foz do Iguaçu,Paraná, Brazil,Foz do Iguacu,
IHC,Inhaca Island,Mozambique,,Inhaca Island,
IHN,Qishn,Yemen,,Qishn,
IHO,Ihosy,Madagascar,,Ihosy,
IHR,Iranshahr,Iran,,Iranshahr,
IHU,Ihu,Papua New Guinea,,Ihu,
IIA,Inishmaan,Ireland,,Inishmaan,
IIL,Ilam,Iran,,Ilam,
IIS,Nissan Island,Papua New Guinea,,Nissan Island,
IJK,Izhevsk,Udmurtia, Russia,Izhevsk,
IJU,Ijuí,Rio Grande do Sul, Brazil,Ijui,
IJX,Jacksonville,Illinois, United States,Jacksonville,
IKA,Tehran,Iran,,Tehran,
IKB,North Wilkesboro,North Carolina, United States,North Wilkesboro,
IKI,Iki,Iki Island, Japan,Iki,
IKK,Kankakee,Illinois, United States,Kankakee,
IKL,Ikela,Democratic Republic of the Congo,,Ikela,
IKO,Nikolski,Alaska, United States,Nikolski,
IKP,Inkerman,Queensland, Australia,Inkerman,
IKS,Tiksi,Yakutia, Russia,Tiksi,
IKT,Irkutsk,Irkutsk Oblast, Russia,Irkutsk,
ILA,Illaga,Indonesia,,Illaga,
ILD,Lleida,Catalonia, Spain,Lleida,
ILE,Killeen,Texas, United States,Killeen,
ILF,Ilford,Manitoba, Canada,Ilford,
ILG,Wilmington,Delaware, United States,Wilmington,
ILH,Illesheim,Bavaria, Germany,Illesheim,
ILI,Iliamna,Alaska, United States,Iliamna,
ILK,Ilaka,Madagascar,,Ilaka,
ILL,Willmar,Minnesota, United States,Willmar,
ILM,Wilmington,North Carolina, United States,Wilmington,
ILN,Wilmington,Ohio, United States,Wilmington,
ILO,Iloilo,Philippines,,Iloilo,
ILP,Île des Pins,New Caledonia,,Ile des Pins,
ILQ,Ilo,Peru,,Ilo,
ILR,Ilorin,Nigeria,,Ilorin,
ILU,Kilaguni,Kenya,,Kilaguni,
ILX,Ileg,Papua New Guinea,,Ileg,
ILY,Islay,Scotland, United Kingdom,Islay,
ILZ,Žilina,Slovakia,,Zilina,
IMA,Iamalele,Papua New Guinea,,Iamalele,
IMB,Imbaimadai,Guyana,,Imbaimadai,
IMD,Imonda,Papua New Guinea,,Imonda,
IMF,Imphal,Manipur, India,Imphal,
IMG,Inhaminga,Mozambique,,Inhaminga,
IMI,Ine,Arno Atoll,Marshall Islands,Ine,
IMK,Simikot,Nepal,,Simikot,
IML,Imperial,Nebraska, United States,Imperial,
IMM,Immokalee,Florida, United States,Immokalee,
IMN,Imane,Papua New Guinea,,Imane,
IMO,Zemio,Central African Republic,,Zemio,
IMP,Imperatriz,Maranhão, Brazil,Imperatriz,
IMQ,Maku,West Azerbaijan Province, Iran,Maku,
IMT,Iron Mountain/Kingsford,Michigan, United States,Iron Mountain/Kingsford,
INA,Inta,Komi Republic, Russia,Inta,
INB,Independence,Belize,,Independence,
INC,Yinchuan,Ningxia, China,Yinchuan,
IND,Indianapolis,Indiana, United States,Indianapolis,
INE,Chinde,Mozambique,,Chinde,
INF,In Guezzam,Algeria,,In Guezzam,
INH,Inhambane,Mozambique,,Inhambane,
INI,Niš,Serbia,,Nis,
INJ,Injune,Queensland, Australia,Injune,
INK,Wink,Texas, United States,Wink,
INL,International Falls,Minnesota, United States,International Falls,
INM,Innamincka,South Australia, Australia,Innamincka,
INN,Innsbruck,Austria,,Innsbruck,
INO,Inongo,Democratic Republic of the Congo,,Inongo,
INQ,Inisheer,Ireland,,Inisheer,
INS,Indian Springs,Nevada, United States,Indian Springs,
INT,Winston-Salem,North Carolina, United States,Winston-Salem,
INU,Yaren,Nauru,,Yaren,
INV,Inverness,Scotland, United Kingdom,Inverness,
INW,Winslow,Arizona, United States,Winslow,
INX,Inanwatan,Indonesia,,Inanwatan,
INY,Inyati,South Africa,,Inyati,
INZ,In Salah,Algeria,,In Salah,
IOA,Ioannina,Greece,,Ioannina,
IOK,Iokea,Papua New Guinea,,Iokea,
IOM,Isle of Man, United Kingdom,,Isle of Man,
ION,Impfondo,Republic of the Congo,,Impfondo,
IOP,Ioma,Papua New Guinea,,Ioma,
IOR,Inishmore,Ireland,,Inishmore,
IOS,Ilhéus,Bahia, Brazil,Ilheus,
IOW,Iowa City,Iowa, United States,Iowa City,
IPA,Erromango,Tafea,Vanuatu,Erromango,
IPC,Easter Island,Chile,,Easter Island,
IPE,Ipil,Philippines,,Ipil,
IPG,Santo Antônio do Içá,Amazonas, Brazil,Santo Antonio do Ica,
IPH,Ipoh,Perak, Malaysia,Ipoh,
IPI,Ipiales,Colombia,,Ipiales,
IPL,Imperial/El Centro,California, United States,Imperial/El Centro,
IPN,Ipatinga,Minas Gerais, Brazil,Ipatinga,
IPT,Williamsport,Pennsylvania, United States,Williamsport,
IPU,Ipiaú,Bahia, Brazil,Ipiau,
IQA,Anbar Province,Iraq,,Anbar Province,
IQM,Qiemo,Xinjiang, China,Qiemo,
IQN,Qingyang,Gansu, China,Qingyang,
IQQ,Iquique,Chile,,Iquique,
IQT,Iquitos,Peru,,Iquitos,
IRA,Kirakira,Makira Island,Solomon Islands,Kirakira,
IRB,Iraan,Texas, United States,Iraan,
IRC,Circle,Alaska, United States,Circle,
IRD,Ishwardi,Bangladesh,,Ishwardi,
IRE,Irecê,Bahia, Brazil,Irece,
IRG,Lockhart River,Queensland, Australia,Lockhart River,
IRI,Iringa,Tanzania,,Iringa,
IRJ,La Rioja, Argentina,,La Rioja,
IRK,Kirksville,Missouri, United States,Kirksville,
IRM,Igrim,Khanty-Mansi Autonomous Okrug, Russia,Igrim,
IRN,Iriona,Honduras,,Iriona,
IRO,Birao,Central African Republic,,Birao,
IRP,Isiro,Democratic Republic of the Congo,,Isiro,
IRS,Sturgis,Michigan, United States,Sturgis,
IRU,Kilinochchi,Sri Lanka,,Kilinochchi,
IRZ,Santa Isabel do Rio Negro,Amazonas, Brazil,Santa Isabel do Rio Negro,
ISA,Mount Isa,Queensland, Australia,Mount Isa,
ISB,Islamabad/Rawalpindi,Pakistan,,Islamabad/Rawalpindi,
ISC,St Mary's,Isles of Scilly, United Kingdom,St Mary's,
ISD,Iscuande,Colombia,,Iscuande,
ISE,Isparta,Turkey,,Isparta,
ISG,Ishigaki,Yaeyama Islands, Japan,Ishigaki,
ISI,Isisford,Queensland, Australia,Isisford,
ISJ,Isla Mujeres,Quintana Roo, Mexico,Isla Mujeres,
ISK,Nashik,Maharashtra, India,Nashik,
ISL,Istanbul,Turkey,,Istanbul,
ISM,Orlando,Florida, United States,Orlando,
ISN,Williston,North Dakota, United States,Williston,
ISO,Kinston,North Carolina, United States,Kinston,
ISP,Islip,New York, United States,Islip,
ISQ,Manistique,Michigan, United States,Manistique,
ISS,Wiscasset,Maine, United States,Wiscasset,
IST,Istanbul,Turkey,,Istanbul,
ISU,Sulaymaniyah,Iraq,,Sulaymaniyah,
ISW,Wisconsin Rapids,Wisconsin, United States,Wisconsin Rapids,
ITA,Itacoatiara,Amazonas, Brazil,Itacoatiara,
ITB,Itaituba,Pará, Brazil,Itaituba,
ITE,Ituberá,Bahia, Brazil,Itubera,
ITH,Ithaca,New York, United States,Ithaca,
ITI,Itambacuri,Minas Gerais, Brazil,Itambacuri,
ITK,Itokama,Papua New Guinea,,Itokama,
ITM,Osaka,Honshu, Japan,Osaka,
ITN,Itabuna,Bahia, Brazil,Itabuna,
ITO,Hilo,Hawaii, United States,Hilo,
ITP,Itaperuna,Rio de Janeiro, Brazil,Itaperuna,
ITQ,Itaqui,Rio Grande do Sul, Brazil,Itaqui,
ITR,Itumbiara,Goiás, Brazil,Itumbiara,
ITU,Kurilsk,Sakhalin Oblast, Russia,Kurilsk,
IUE,Alofi,Niue,,Alofi,
IUL,Ilu,Indonesia,,Ilu,
IUS,Inus,Papua New Guinea,,Inus,
IVA,Ambanja,Madagascar,,Ambanja,
IVC,Invercargill,New Zealand,,Invercargill,
IVG,Berane,Montenegro,,Berane,
IVI,Viveros Island,Panama,,Viveros Island,
IVL,Ivalo,Finland,,Ivalo,
IVO,Chibolo,Colombia,,Chibolo,
IVR,Inverell,New South Wales, Australia,Inverell,
IVW,Inverway,Northern Territory, Australia,Inverway,
IWA,Ivanovo,Ivanovo Oblast, Russia,Ivanovo,
IWD,Ironwood,Michigan, United States,Ironwood,
IWJ,Masuda,Honshu, Japan,Masuda,
IWK,Iwakuni,Honshu, Japan,Iwakuni,
IWO,Iwo Jima,Bonin Islands, Japan,Iwo Jima,
IWS,Houston,Texas, United States,Houston,
IXA,Agartala,Tripura, India,Agartala,
IXB,Siliguri,West Bengal, India,Siliguri,
IXC,Chandigarh, India,,Chandigarh,
IXD,Allahabad,Uttar Pradesh, India,Allahabad,
IXE,Mangalore,Karnataka, India,Mangalore,
IXG,Belgaum,Karnataka, India,Belgaum,
IXH,Kailashahar,Tripura, India,Kailashahar,
IXI,North Lakhimpur,Assam, India,North Lakhimpur,
IXJ,Jammu,Jammu and Kashmir, India,Jammu,
IXK,Keshod,Gujarat, India,Keshod,
IXL,Leh,Jammu and Kashmir, India,Leh,
IXM,Madurai,Tamil Nadu, India,Madurai,
IXN,Khowai,Tripura, India,Khowai,
IXP,Pathankot,Punjab, India,Pathankot,
IXQ,Kamalpur,Tripura, India,Kamalpur,
IXR,Ranchi,Jharkhand, India,Ranchi,
IXS,Silchar,Assam, India,Silchar,
IXT,Pasighat,Arunachal Pradesh, India,Pasighat,
IXU,Aurangabad,Maharashtra, India,Aurangabad,
